ESTATÍSTICAS DE UTILIZAÇÃO DE VPN DO 5º CTA – 09:00 ÀS 17:00,,,,,
,,,,,
DATA,NR DE USUÁRIOS VPN CADASTRADOS,NR MÁX CONEXÕES SIMULTÂNEAS VPN,CAPACIDADE TOTAL ENLACES INTERNET,CONSUMO MÉDIO ENLACES INTERNET,CONSUMO MÁX ENLACES INTERNET
3/4/20,-,-,-,-,-
4/4/20,-,-,-,-,-
5/4/20,-,-,-,-,-
6/4/20,1613,57,500 Mbps,93 Mbps,182 Mbps
7/4/20,1622,69,500 Mbps,92 Mbps,185 Mbps
8/4/20,1632,62,500 Mbps,94 Mbps,223 Mbps
9/4/20,1635,57,500 Mbps,51 Mbps,125 Mbps
10/4/20,1635,10,500 Mbps,13 Mbps,50 Mbps
11/4/20,1635,10,500 Mbps,14 Mbps,50 Mbps
12/4/20,1635,8,500 Mbps,14 Mbps,64 Mbps
13/4/20,1644,55,500 Mbps,93 Mbps,204 Mbps
14/4/20,1648,65,500 Mbps,90 Mbps,256 Mbps
15/4/20,1653,57,500 Mbps,92 Mbps,237 Mbps
16/4/20,1656,51,500 Mbps,97 Mbps,416 Mbps
17/4/20,1664,55,500 Mbps,49 Mbps,211 Mbps
18/4/20,1664,13,500 Mbps,17 Mbps,65 Mbps
19/4/20,1664,14,500 Mbps,14 Mbps,132 Mbps
20/4/20,1664,59,500 Mbps,70 Mbps,200 Mbps
21/4/20,1664,20,500 Mbps,14 Mbps,125 Mbps
22/4/20,1674,48,500 Mbps,94 Mbps,206 Mbps
23/4/20,1674,51,500 Mbps,83 Mbps,235 Mbps
24/4/20,1684,47,500 Mbps,48 Mbps,212 Mbps
25/4/20,1684,11,500 Mbps,31 Mbps,275 Mbps
26/4/20,1684,12,500 Mbps,18 Mbps,109 Mbps
27/4/20,1681,54,500 Mbps,87 Mbps,210 Mbps
28/4/20,1685,54,500 Mbps,75 Mbps,184 Mbps
29/4/20,1695,52,500 Mbps,88 Mbps,257 Mbps
30/4/20,1698,50,500 Mbps,99 Mbps,378 Mbps
1/5/20,1698,9,500 Mbps,12 Mbps,47 Mbps
2/5/20,1698,8,500 Mbps,17 Mbps,57 Mbps
3/5/20,1698,12,500 Mbps,15 Mbps,84 Mbps
4/5/20,1698,46,500 Mbps,88 Mbps,205 Mbps
5/5/20,1706,65,500 Mbps,92 Mbps,419 Mbps
6/5/20,1707,52,500 Mbps,90 Mbps,271 Mbps
7/5/20,1707,60,500 Mbps,85 Mbps,231 Mbps
8/5/20,1710,52,500 Mbps,52 Mbps,190 Mbps
9/5/20,1710,9,500 Mbps,22 Mbps,169 Mbps
10/5/20,1710,10,500 Mbps,9 Mbps,42 Mbps
11/5/20,1716,45,500 Mbps,77 Mbps,197 Mbps
12/5/20,1725,51,500 Mbps,84 Mbps,186 Mbps
13/5/20,1746,54,500 Mbps,88 Mbps,283 Mbps
14/5/20,1746,56,500 Mbps,83 Mbps,159 Mbps
15/5/20,1750,61,500 Mbps,53 Mbps,260 Mbps
